final id,species,site,specimen.date,wing,trial,Min of final rn,flip?,side,length
KEB_00757,bombus impatiens,r,8/14/2019,1,2,43407,y,l,3.029715
KEB_00757,bombus impatiens,r,8/14/2019,2,1,43429,n,r,3.029715
KEB_00757,bombus impatiens,r,8/14/2019,2,2,43451,n,r,3.029715
KEB_00770,bombus impatiens,c,8/14/2019,1,1,43473,y,l,3.048175
KEB_00770,bombus impatiens,c,8/14/2019,1,2,43495,y,l,3.048175
KEB_00770,bombus impatiens,c,8/14/2019,2,1,43517,n,r,3.048175
KEB_00770,bombus impatiens,c,8/14/2019,2,2,43539,n,r,3.048175
KEB_00771,bombus impatiens,c,8/14/2019,1,1,43561,y,l,3.1577
KEB_00771,bombus impatiens,c,8/14/2019,1,2,43583,y,l,3.1577
KEB_00771,bombus impatiens,c,8/14/2019,2,1,43605,n,r,3.1577
KEB_00771,bombus impatiens,c,8/14/2019,2,2,43627,n,r,3.1577
KEB_00917,bombus impatiens,r,8/30/2019,1,1,44177,y,l,3.22543
KEB_00917,bombus impatiens,r,8/30/2019,1,2,44199,y,l,3.22543
KEB_00917,bombus impatiens,r,8/30/2019,2,1,44221,n,r,3.22543
KEB_00917,bombus impatiens,r,8/30/2019,2,2,44243,n,r,3.22543
KEB_00918,bombus impatiens,r,8/30/2019,1,1,44265,y,l,3.02926
KEB_00918,bombus impatiens,r,8/30/2019,1,2,44287,y,l,3.02926
KEB_00918,bombus impatiens,r,8/30/2019,2,1,44309,n,r,3.02926
KEB_00918,bombus impatiens,r,8/30/2019,2,2,44331,n,r,3.02926
KEB_01010,bombus impatiens,r,9/20/2019,1,1,44353,y,l,3.09959
KEB_01010,bombus impatiens,r,9/20/2019,1,2,44375,y,l,3.09959
KEB_01010,bombus impatiens,r,9/20/2019,2,1,44397,n,r,3.09959
KEB_01010,bombus impatiens,r,9/20/2019,2,2,44419,n,r,3.09959
KEB_00949,bombus impatiens,c,9/13/2019,1,1,44441,y,l,3.602105
KEB_00949,bombus impatiens,c,9/13/2019,1,2,44463,y,l,3.602105
KEB_00949,bombus impatiens,c,9/13/2019,2,1,44485,n,r,3.602105
KEB_00949,bombus impatiens,c,9/13/2019,2,2,44507,n,r,3.602105
KEB_00951,bombus impatiens,c,9/13/2019,1,1,44529,y,l,3.278405
KEB_00951,bombus impatiens,c,9/13/2019,1,2,44551,y,l,3.278405
KEB_00951,bombus impatiens,c,9/13/2019,2,1,44573,n,r,3.278405
KEB_00951,bombus impatiens,c,9/13/2019,2,2,44595,n,r,3.278405
KEB_00952,bombus impatiens,c,9/13/2019,1,1,44617,y,l,3.0082
KEB_00952,bombus impatiens,c,9/13/2019,1,2,44639,y,l,3.0082
KEB_00952,bombus impatiens,c,9/13/2019,2,1,44661,n,r,3.0082
KEB_00952,bombus impatiens,c,9/13/2019,2,2,44683,n,r,3.0082
KEB_00953,bombus impatiens,c,9/13/2019,1,1,44705,y,l,2.92591
KEB_00953,bombus impatiens,c,9/13/2019,1,2,44727,y,l,2.92591
KEB_00953,bombus impatiens,c,9/13/2019,2,1,44749,n,r,2.92591
KEB_00953,bombus impatiens,c,9/13/2019,2,2,44771,n,r,2.92591
KEB_00954,bombus impatiens,c,9/13/2019,1,1,44793,y,l,2.76692
KEB_00954,bombus impatiens,c,9/13/2019,1,2,44815,y,l,2.76692
KEB_00954,bombus impatiens,c,9/13/2019,2,1,44837,n,r,2.76692
KEB_00954,bombus impatiens,c,9/13/2019,2,2,44859,n,r,2.76692
KEB_00957,bombus impatiens,r,9/13/2019,1,1,44881,y,l,3.19319
KEB_00957,bombus impatiens,r,9/13/2019,1,2,44903,y,l,3.19319
KEB_00957,bombus impatiens,r,9/13/2019,2,1,44925,n,r,3.19319
KEB_00957,bombus impatiens,r,9/13/2019,2,2,44947,n,r,3.19319
KEB_00958,bombus impatiens,r,9/13/2019,1,1,44969,y,l,3.094
KEB_00958,bombus impatiens,r,9/13/2019,1,2,44991,y,l,3.094
KEB_00958,bombus impatiens,r,9/13/2019,2,1,45013,n,r,3.094
KEB_00958,bombus impatiens,r,9/13/2019,2,2,45035,n,r,3.094
KEB_00959,bombus impatiens,r,9/13/2019,1,1,45057,y,l,3.398785
KEB_00959,bombus impatiens,r,9/13/2019,1,2,45079,y,l,3.398785
KEB_00959,bombus impatiens,r,9/13/2019,2,1,45101,n,r,3.398785
KEB_00959,bombus impatiens,r,9/13/2019,2,2,45123,n,r,3.398785
KEB_00961,bombus impatiens,r,9/13/2019,1,1,45145,y,l,3.00846
KEB_00961,bombus impatiens,r,9/13/2019,1,2,45167,y,l,3.00846
KEB_00961,bombus impatiens,r,9/13/2019,2,1,45189,n,r,3.00846
KEB_00961,bombus impatiens,r,9/13/2019,2,2,45211,n,r,3.00846
KEB_00966,bombus impatiens,r,9/13/2019,1,1,45233,y,l,2.97934
KEB_00966,bombus impatiens,r,9/13/2019,1,2,45255,y,l,2.97934
KEB_00966,bombus impatiens,r,9/13/2019,2,1,45277,n,r,2.97934
KEB_00966,bombus impatiens,r,9/13/2019,2,2,45299,n,r,2.97934
KEB_00967,bombus impatiens,r,9/13/2019,1,1,45321,y,l,3.078335
KEB_00967,bombus impatiens,r,9/13/2019,1,2,45343,y,l,3.078335
KEB_00967,bombus impatiens,r,9/13/2019,2,1,45365,n,r,3.078335
KEB_00967,bombus impatiens,r,9/13/2019,2,2,45387,n,r,3.078335
KEB_00969,bombus impatiens,r,9/13/2019,1,1,45409,y,l,3.080935
KEB_00969,bombus impatiens,r,9/13/2019,1,2,45431,y,l,3.080935
KEB_00969,bombus impatiens,r,9/13/2019,2,1,45453,n,r,3.080935
KEB_00969,bombus impatiens,r,9/13/2019,2,2,45475,n,r,3.080935
KEB_00970,bombus impatiens,r,9/13/2019,1,1,45497,y,l,3.356275
KEB_00970,bombus impatiens,r,9/13/2019,1,2,45519,y,l,3.356275
KEB_00970,bombus impatiens,r,9/13/2019,2,1,45541,n,r,3.356275
KEB_00970,bombus impatiens,r,9/13/2019,2,2,45563,n,r,3.356275
KEB_00983,bombus impatiens,c,9/13/2019,1,1,45585,y,l,3.67601
KEB_00983,bombus impatiens,c,9/13/2019,1,2,45607,y,l,3.67601
KEB_00983,bombus impatiens,c,9/13/2019,2,1,45629,n,r,3.67601
KEB_00983,bombus impatiens,c,9/13/2019,2,2,45651,n,r,3.67601
KEB_00986,bombus impatiens,c,9/13/2019,1,1,45673,y,l,3.626285
KEB_00986,bombus impatiens,c,9/13/2019,1,2,45695,y,l,3.626285
KEB_00986,bombus impatiens,c,9/13/2019,2,1,45717,n,r,3.626285
KEB_00986,bombus impatiens,c,9/13/2019,2,2,45739,n,r,3.626285
KEB_00989,bombus impatiens,c,9/13/2019,1,1,45761,y,l,3.3644
KEB_00989,bombus impatiens,c,9/13/2019,1,2,45783,y,l,3.3644
KEB_00989,bombus impatiens,c,9/13/2019,2,1,45805,n,r,3.3644
KEB_00989,bombus impatiens,c,9/13/2019,2,2,45827,n,r,3.3644
KEB_01005,bombus impatiens,r,9/20/2019,1,1,45849,y,l,3.12572
KEB_01005,bombus impatiens,r,9/20/2019,1,2,45871,y,l,3.12572
KEB_01005,bombus impatiens,r,9/20/2019,2,1,45893,n,r,3.12572
KEB_01005,bombus impatiens,r,9/20/2019,2,2,45915,n,r,3.12572
KEB_01008,bombus impatiens,r,9/20/2019,1,1,45937,y,l,3.10856
KEB_01008,bombus impatiens,r,9/20/2019,1,2,45959,y,l,3.10856
KEB_01008,bombus impatiens,r,9/20/2019,2,1,45981,n,r,3.10856
KEB_01008,bombus impatiens,r,9/20/2019,2,2,46003,n,r,3.10856
KEB_01009,bombus impatiens,r,9/20/2019,1,1,46025,y,l,3.336385
KEB_01009,bombus impatiens,r,9/20/2019,1,2,46047,y,l,3.336385
KEB_01009,bombus impatiens,r,9/20/2019,2,1,46069,n,r,3.336385
KEB_01009,bombus impatiens,r,9/20/2019,2,2,46091,n,r,3.336385
